Area,Genero,Cantidad_Empleados,Salario_Promedio
Litio-exploracion y financiacion,Masculino,157,21187.1
Litio-exploracion y financiacion,Desconocido,1,17095.9
Litio-Produccion,Femenino,71,17452.4
Litio-Produccion,Masculino,416,20526.08
Litio-Produccion,Desconocido,5,14950.24
Metaliferos-exploracion y financiacion,Femenino,8,14165.72
Metaliferos-exploracion y financiacion,Masculino,31,15850.12
Metaliferos-Produccion,Femenino,829,19245.54
Metaliferos-Produccion,Masculino,10726,22137.54
Metaliferos-Produccion,Desconocido,72,19798.16
Minerales no clasificados previamente,Femenino,338,12131.45
Minerales no clasificados previamente,Masculino,3706,11151.19
Minerales no clasificados previamente,Desconocido,25,9027.21
No metaliferos,Femenino,196,12425.66
No metaliferos,Masculino,2008,11077.41
No metaliferos,Desconocido,10,9337.72
Rocas de aplicacion,Femenino,320,9096.98
Rocas de aplicacion,Masculino,4218,12225.43
Rocas de aplicacion,Desconocido,26,10417.83
Servicios mineros y actividades relacionadas,Femenino,219,12018.0
Servicios mineros y actividades relacionadas,Masculino,5288,12977.18
Servicios mineros y actividades relacionadas,Desconocido,41,9839.95
Combustibles-Produccion,Femenino,163,40741.82
Combustibles-Produccion,Masculino,2789,50304.17
Combustibles-Produccion,Desconocido,26,43166.16
Litio-exploracion y financiacion,Femenino,18,20434.52
Litio-exploracion y financiacion,Masculino,152,27023.82
Litio-exploracion y financiacion,Desconocido,1,20743.03
Litio-Produccion,Femenino,77,19710.14
Litio-Produccion,Masculino,450,23144.28
Litio-Produccion,Desconocido,4,16132.37
Metaliferos-exploracion y financiacion,Femenino,8,18433.35
Metaliferos-exploracion y financiacion,Masculino,32,20931.11
Metaliferos-Produccion,Femenino,877,25582.41
Metaliferos-Produccion,Masculino,11031,29822.5
Metaliferos-Produccion,Desconocido,72,26438.54
Minerales no clasificados previamente,Femenino,352,14496.2
Minerales no clasificados previamente,Masculino,3741,14441.36
Minerales no clasificados previamente,Desconocido,25,12225.82
No metaliferos,Femenino,200,15632.35
No metaliferos,Masculino,1991,14358.91
No metaliferos,Desconocido,10,12674.82
Rocas de aplicacion,Femenino,323,11495.03
Rocas de aplicacion,Masculino,4319,15750.06
Rocas de aplicacion,Desconocido,27,14594.49
Servicios mineros y actividades relacionadas,Femenino,220,15484.89
Servicios mineros y actividades relacionadas,Masculino,5328,16757.17
