Area,Genero,Cantidad_Empleados,Salario_Promedio
No metaliferos,Masculino,2038,74221.98
No metaliferos,Desconocido,14,51549.31
Rocas de aplicacion,Femenino,326,49468.64
Rocas de aplicacion,Masculino,4354,62505.54
Rocas de aplicacion,Desconocido,22,75414.68
Servicios mineros y actividades relacionadas,Femenino,200,83874.27
Servicios mineros y actividades relacionadas,Masculino,4261,80963.9
Servicios mineros y actividades relacionadas,Desconocido,37,64911.5
Combustibles-Produccion,Femenino,175,113250.37
Combustibles-Produccion,Masculino,1954,126237.25
Combustibles-Produccion,Desconocido,19,120980.48
Litio-exploracion y financiacion,Femenino,80,188568.09
Litio-exploracion y financiacion,Masculino,265,297219.83
Litio-exploracion y financiacion,Desconocido,5,727964.69
Litio-Produccion,Femenino,234,143630.06
Litio-Produccion,Masculino,1087,189567.24
Litio-Produccion,Desconocido,10,193840.89
Metaliferos-exploracion y financiacion,Femenino,72,141544.4
Metaliferos-exploracion y financiacion,Masculino,464,196383.91
Metaliferos-exploracion y financiacion,Desconocido,2,117095.65
Metaliferos-Produccion,Femenino,810,184799.79
Metaliferos-Produccion,Masculino,9150,218557.31
Metaliferos-Produccion,Desconocido,64,181176.01
Minerales no clasificados previamente,Femenino,373,108652.28
Minerales no clasificados previamente,Masculino,4019,118172.17
Minerales no clasificados previamente,Desconocido,24,119267.31
No metaliferos,Femenino,278,107240.73
No metaliferos,Masculino,2097,96282.52
No metaliferos,Desconocido,15,74929.97
Rocas de aplicacion,Femenino,328,66573.88
Rocas de aplicacion,Masculino,4422,85844.09
Rocas de aplicacion,Desconocido,23,94705.06
Servicios mineros y actividades relacionadas,Femenino,213,109416.43
Servicios mineros y actividades relacionadas,Masculino,4328,118980.12
Servicios mineros y actividades relacionadas,Desconocido,36,98383.27
Combustibles-Produccion,Femenino,177,105946.42
Combustibles-Produccion,Masculino,1951,114775.14
Combustibles-Produccion,Desconocido,20,103925.67
Litio-exploracion y financiacion,Femenino,85,160918.9
Litio-exploracion y financiacion,Masculino,295,243499.96
Litio-exploracion y financiacion,Desconocido,4,710097.09
Litio-Produccion,Femenino,236,166817.1
Litio-Produccion,Masculino,1113,194131.29
Litio-Produccion,Desconocido,9,230859.16
Metaliferos-exploracion y financiacion,Femenino,82,146416.49
Metaliferos-exploracion y financiacion,Masculino,489,227016.77
Metaliferos-exploracion y financiacion,Desconocido,2,111192.46
Metaliferos-Produccion,Femenino,826,283153.63
Metaliferos-Produccion,Masculino,9106,343169.59
Metaliferos-Produccion,Desconocido,66,261786.67
Minerales no clasificados previamente,Femenino,394,133620.91
Minerales no clasificados previamente,Masculino,4127,138817.01
Minerales no clasificados previamente,Desconocido,25,139606.6
No metaliferos,Femenino,315,95350.54
No metaliferos,Masculino,2230,96690.32
No metaliferos,Desconocido,16,67226.17
Rocas de aplicacion,Femenino,334,64254.98
Rocas de aplicacion,Masculino,4548,85381.63
Rocas de aplicacion,Desconocido,25,95363.19
Servicios mineros y actividades relacionadas,Femenino,223,130398.3
Servicios mineros y actividades relacionadas,Masculino,4409,123070.68
Servicios mineros y actividades relacionadas,Desconocido,36,95247.75
Combustibles-Produccion,Femenino,183,171722.62
Combustibles-Produccion,Masculino,1952,185539.64
Combustibles-Produccion,Desconocido,21,158292.6
Litio-exploracion y financiacion,Femenino,97,212563.76
Litio-exploracion y financiacion,Masculino,320,292582.49
Litio-exploracion y financiacion,Desconocido,5,773164.72
Litio-Produccion,Femenino,257,202812.99
Litio-Produccion,Masculino,1165,240021.97
Litio-Produccion,Desconocido,10,241576.84
Metaliferos-exploracion y financiacion,Femenino,86,185750.8
Metaliferos-exploracion y financiacion,Masculino,500,239751.48
Metaliferos-exploracion y financiacion,Desconocido,2,162304.61
Metaliferos-Produccion,Femenino,839,237105.45
Metaliferos-Produccion,Masculino,9068,284242.19
Metaliferos-Produccion,Desconocido,68,230059.86
Minerales no clasificados previamente,Femenino,413,145859.35
Minerales no clasificados previamente,Masculino,4145,148291.48
Minerales no clasificados previamente,Desconocido,22,155814.72
No metaliferos,Femenino,304,126561.97
No metaliferos,Masculino,2138,117227.27
No metaliferos,Desconocido,17,82527.81
Rocas de aplicacion,Femenino,345,80505.12
Rocas de aplicacion,Masculino,4540,112761.35
Rocas de aplicacion,Desconocido,25,127130.23
Servicios mineros y actividades relacionadas,Femenino,226,126770.91
Servicios mineros y actividades relacionadas,Masculino,4364,132498.38
Servicios mineros y actividades relacionadas,Desconocido,35,114538.03
Combustibles-Produccion,Femenino,188,194708.8
Combustibles-Produccion,Masculino,1942,245320.12
Combustibles-Produccion,Desconocido,22,221171.18
Litio-exploracion y financiacion,Femenino,108,186125.67
Litio-exploracion y financiacion,Masculino,346,286657.91
Litio-exploracion y financiacion,Desconocido,4,747391.35
Litio-Produccion,Femenino,275,223981.36
Litio-Produccion,Masculino,1229,261992.26
Litio-Produccion,Desconocido,11,276020.88
Metaliferos-exploracion y financiacion,Femenino,90,182739.74
Metaliferos-exploracion y financiacion,Masculino,540,203230.64
Metaliferos-exploracion y financiacion,Desconocido,2,154560.95
Metaliferos-Produccion,Femenino,947,220237.19
Metaliferos-Produccion,Masculino,9803,258150.43
Metaliferos-Produccion,Desconocido,75,218262.63
Minerales no clasificados previamente,Femenino,344,123798.04
Minerales no clasificados previamente,Masculino,3450,120810.56
Minerales no clasificados previamente,Desconocido,15,82316.41
No metaliferos,Femenino,286,128405.02
No metaliferos,Masculino,2108,119010.82
No metaliferos,Desconocido,17,78230.98
Rocas de aplicacion,Femenino,349,82346.79
Rocas de aplicacion,Masculino,4602,114878.03
Rocas de aplicacion,Desconocido,30,116855.09
Servicios mineros y actividades relacionadas,Femenino,233,119801.66
Servicios mineros y actividades relacionadas,Masculino,4310,126638.9
Servicios mineros y actividades relacionadas,Desconocido,34,106927.26
Combustibles-Produccion,Femenino,207,197387.0
Combustibles-Produccion,Masculino,1959,229109.0
Combustibles-Produccion,Desconocido,22,211485.48
Litio-exploracion y financiacion,Femenino,116,230242.07
Litio-exploracion y financiacion,Masculino,360,332215.34
Litio-exploracion y financiacion,Desconocido,4,950168.07
Litio-Produccion,Femenino,286,272998.91
Litio-Produccion,Masculino,1280,329635.88
Litio-Produccion,Desconocido,12,378883.62
Metaliferos-exploracion y financiacion,Femenino,103,259401.49
Metaliferos-exploracion y financiacion,Masculino,593,293284.72
Metaliferos-exploracion y financiacion,Desconocido,4,249977.53
Metaliferos-Produccion,Femenino,979,302515.75
Metaliferos-Produccion,Masculino,9795,357150.55
Metaliferos-Produccion,Desconocido,73,301829.26
Minerales no clasificados previamente,Femenino,342,158209.56
Minerales no clasificados previamente,Masculino,3534,164333.05
Minerales no clasificados previamente,Desconocido,16,115117.1
No metaliferos,Femenino,282,170498.84
No metaliferos,Masculino,2068,167371.24
No metaliferos,Desconocido,16,107873.0
Rocas de aplicacion,Femenino,347,105813.82
Rocas de aplicacion,Masculino,4564,150566.03
Rocas de aplicacion,Desconocido,30,161350.52
Servicios mineros y actividades relacionadas,Femenino,265,171994.45
Servicios mineros y actividades relacionadas,Masculino,4352,175967.67
Servicios mineros y actividades relacionadas,Desconocido,37,141407.03
